#{"t_start": 1721040892.7596347, "env_id": "None"}
r,l,t
-58.0,592,12.502065
-64.0,902,20.610726
-8.5,1499,88.215593
-75.5,770,94.948086
-46.0,783,155.766056
-77.5,609,172.144622
-57.5,689,178.197737
-35.5,910,239.874451
-55.0,878,247.599619
-87.0,598,306.866726
-66.5,682,312.86859
-18.0,1676,409.925768
-24.5,1030,419.172465
-36.5,812,478.63219
-55.0,841,486.152001
-41.5,1221,551.028966
-38.0,1448,592.918065
-19.5,1501,659.729093
-47.5,1480,725.496114
29.0,1372,779.87687
-22.0,1244,842.357495
-20.5,1418,907.352937
23.5,1794,976.195747
-53.5,1008,1027.947362
43.5,1746,1095.76474
-23.5,1106,1105.511572
73.0,1611,1215.554188
74.5,2543,1290.076384
35.0,1913,1361.122299
50.5,1464,1470.124183
38.5,2206,1543.236719
50.0,2429,1662.17221
71.5,3000,1794.522959
52.0,1601,1892.292683
35.5,2027,1964.55162
91.5,2324,2039.353831
35.0,2809,2161.820328
48.0,2155,2235.472103
67.0,1995,2336.938502
86.5,1891,2405.92608
97.5,1883,2511.644198
69.0,2240,2585.108066
83.5,1620,2651.989217
81.5,1431,2754.658611
78.0,2073,2827.166414
